city,month,seasonal_factor,trust_week,declared_hourly_rate,claims_last_month,years_on_platform,flood_risk_score,heat_risk_score,ward_disruption_freq,city_median_hourly,city_base_premium,weekly_premium
mumbai,0,0.7,9,49.17,4,3.49,0.777,0.155,0.109,65,100,76.21
delhi,8,1.3,9,59.31,0,3.56,0.482,0.713,0.077,60,85,117.33
delhi,10,0.8,9,73.55,3,3.02,0.392,0.657,0.062,60,85,76.37
delhi,6,1.5,1,54.26,6,4.4,0.291,0.463,0.06,60,85,120.0
bangalore,10,0.8,9,72.68,1,3.17,0.232,0.255,0.084,58,80,67.22
mumbai,2,0.8,1,58.73,2,2.99,0.846,0.175,0.077,65,100,93.87
bangalore,9,1.0,5,64.76,6,2.07,0.147,0.252,0.067,58,80,90.41
mumbai,0,0.7,9,58.99,3,2.64,0.863,0.445,0.098,65,100,78.37
delhi,0,0.7,1,53.37,0,2.73,0.463,0.855,0.104,60,85,64.64
mumbai,2,0.8,9,60.35,4,2.1,0.662,0.127,0.095,65,100,97.39
pune,11,0.7,1,65.89,2,4.34,0.204,0.216,0.076,55,65,60.0
bangalore,10,0.8,1,64.56,1,4.66,0.332,0.237,0.059,58,80,64.4
pune,9,1.0,1,48.5,1,2.83,0.264,0.119,0.058,55,65,68.96
delhi,11,0.7,1,37.29,1,1.49,0.395,0.667,0.061,60,85,71.58
pune,5,1.3,9,49.64,2,2.95,0.219,0.32,0.011,55,65,84.37
pune,11,0.7,1,59.53,0,1.69,0.357,0.193,0.03,55,65,60.0
delhi,3,0.9,1,45.24,2,0.5,0.382,0.812,0.095,60,85,91.61
pune,4,0.9,5,41.24,1,4.92,0.29,0.179,0.027,55,65,60.0
mumbai,8,1.3,5,51.04,2,0.55,1.0,0.184,0.072,65,100,120.0
pune,11,0.7,1,55.28,3,0.67,0.237,0.124,0.014,55,65,60.0
mumbai,11,0.7,1,45.9,2,0.16,0.856,0.183,0.082,65,100,94.67
bangalore,8,1.3,9,52.05,1,2.45,0.274,0.26,0.103,58,80,105.16
chennai,0,0.7,5,51.48,1,0.49,0.704,0.4,0.077,62,95,83.19
delhi,1,0.7,1,67.69,2,4.49,0.57,0.838,0.038,60,85,71.69
chennai,7,1.5,9,77.18,6,0.3,0.756,0.478,0.058,62,95,120.0
chennai,8,1.3,9,80.81,2,0.99,0.762,0.613,0.141,62,95,120.0
delhi,2,0.8,1,46.47,1,0.25,0.456,0.674,0.035,60,85,82.03
pune,7,1.5,1,62.77,3,4.35,0.044,0.4,0.039,55,65,107.11
delhi,1,0.7,5,49.34,1,4.2,0.264,0.775,0.054,60,85,66.14
delhi,11,0.7,1,41.51,1,0.44,0.311,0.686,0.101,60,85,63.94
mumbai,3,0.9,5,60.65,2,1.69,0.688,0.153,0.103,65,100,102.15
bangalore,9,1.0,1,63.72,1,1.75,0.274,0.423,0.068,58,80,83.15
mumbai,8,1.3,1,75.16,5,0.65,0.922,0.193,0.095,65,100,120.0
pune,0,0.7,1,55.62,2,2.59,0.292,0.235,0.061,55,65,60.0
delhi,6,1.5,5,73.3,3,3.4,0.296,0.807,0.065,60,85,120.0
delhi,10,0.8,5,48.99,3,0.25,0.42,0.745,0.047,60,85,84.46
pune,4,0.9,5,43.12,4,0.54,0.156,0.14,0.035,55,65,70.19
chennai,5,1.3,1,70.33,5,3.28,0.811,0.354,0.106,62,95,120.0
bangalore,11,0.7,5,70.76,1,2.98,0.525,0.345,0.034,58,80,60.0
pune,9,1.0,9,74.45,3,0.83,0.037,0.217,-0.007,55,65,66.71
delhi,11,0.7,9,56.97,1,4.68,0.439,0.625,0.063,60,85,60.0
chennai,10,0.8,9,60.82,2,3.62,0.732,0.493,0.084,62,95,89.37
chennai,9,1.0,5,55.03,2,2.18,0.61,0.548,0.037,62,95,110.54
chennai,8,1.3,5,89.01,2,4.54,0.732,0.651,0.065,62,95,120.0
bangalore,3,0.9,1,49.92,3,3.71,0.328,0.265,0.064,58,80,82.86
bangalore,9,1.0,1,77.48,1,0.79,0.367,0.145,0.042,58,80,93.61
pune,6,1.5,5,59.68,4,3.02,0.32,0.031,0.016,55,65,107.91
pune,0,0.7,9,36.38,1,3.24,0.263,0.044,0.019,55,65,60.0
delhi,2,0.8,1,58.28,2,1.73,0.347,0.618,0.072,60,85,78.94
mumbai,6,1.5,5,69.54,1,3.81,0.931,0.079,0.085,65,100,120.0
pune,3,0.9,9,69.56,2,3.8,0.214,0.213,0.038,55,65,60.0
chennai,0,0.7,1,73.48,1,1.8,0.706,0.339,0.071,62,95,80.21
delhi,3,0.9,9,65.39,2,2.56,0.347,0.789,0.023,60,85,88.44
delhi,5,1.3,1,73.0,2,0.21,0.357,0.646,0.07,60,85,120.0
delhi,8,1.3,5,36.37,3,1.66,0.378,0.62,0.076,60,85,120.0
chennai,11,0.7,5,30.0,0,3.01,0.773,0.454,0.049,62,95,77.11
bangalore,4,0.9,5,49.74,1,3.51,0.294,0.239,0.049,58,80,71.28
chennai,3,0.9,9,64.04,2,3.16,0.445,0.593,0.055,62,95,92.29
bangalore,11,0.7,1,53.13,1,0.76,0.184,0.437,0.047,58,80,66.71
pune,0,0.7,1,64.53,2,0.42,0.188,0.156,0.057,55,65,60.0
pune,3,0.9,1,50.32,4,4.79,0.255,0.247,0.044,55,65,64.8
chennai,7,1.5,1,60.0,5,2.64,0.746,0.432,0.122,62,95,120.0
pune,7,1.5,1,50.62,1,4.79,0.218,0.12,0.067,55,65,94.86
bangalore,6,1.5,5,42.06,4,2.18,0.303,0.215,0.058,58,80,120.0
mumbai,8,1.3,1,61.13,4,4.85,0.775,0.136,0.114,65,100,120.0
pune,11,0.7,1,58.22,0,0.64,0.117,0.22,0.058,55,65,60.0
delhi,8,1.3,1,63.78,2,4.96,0.383,0.579,0.091,60,85,120.0
delhi,4,0.9,5,66.59,4,0.97,0.433,0.703,0.067,60,85,92.58
chennai,10,0.8,9,47.65,1,3.82,0.696,0.566,0.111,62,95,83.67
mumbai,4,0.9,1,54.72,1,1.31,0.779,0.115,0.084,65,100,107.02
delhi,4,0.9,5,45.65,2,0.13,0.444,0.622,0.081,60,85,89.27
bangalore,2,0.8,9,63.03,2,1.99,0.421,0.362,0.046,58,80,68.25
pune,5,1.3,5,69.0,1,2.46,0.143,0.144,0.045,55,65,88.46
chennai,7,1.5,5,86.07,5,0.39,0.812,0.435,0.101,62,95,120.0
bangalore,3,0.9,1,47.47,1,4.03,0.378,0.377,0.072,58,80,73.69
chennai,3,0.9,5,55.52,0,2.11,0.663,0.609,0.12,62,95,101.11
mumbai,3,0.9,1,66.69,2,2.21,0.623,0.251,0.085,65,100,100.94
delhi,3,0.9,1,30.0,3,0.38,0.354,0.665,0.083,60,85,92.27
mumbai,3,0.9,1,75.64,2,4.24,0.731,0.128,0.086,65,100,105.28
pune,3,0.9,1,79.4,1,1.26,0.235,0.369,0.064,55,65,62.49
mumbai,4,0.9,9,74.53,1,2.37,0.675,0.208,0.103,65,100,95.07
delhi,4,0.9,1,56.22,2,2.66,0.37,0.715,0.076,60,85,93.48
delhi,0,0.7,1,64.85,0,0.58,0.312,0.688,0.091,60,85,64.16
chennai,10,0.8,1,74.04,0,3.95,0.635,0.42,0.073,62,95,80.47
chennai,5,1.3,1,66.29,1,4.74,0.616,0.658,0.09,62,95,120.0
bangalore,7,1.5,1,82.23,4,0.56,0.164,0.274,0.08,58,80,120.0
pune,4,0.9,1,41.3,3,0.91,0.254,0.043,0.067,55,65,73.99
pune,11,0.7,9,57.19,2,4.3,0.234,0.146,0.02,55,65,60.0
pune,1,0.7,1,52.75,0,0.16,0.299,0.319,0.093,55,65,60.0
pune,2,0.8,1,58.91,4,2.41,0.183,0.331,0.039,55,65,60.0
bangalore,11,0.7,1,64.55,1,1.28,0.216,0.261,0.036,58,80,64.88
mumbai,6,1.5,5,61.13,5,3.41,0.919,0.088,0.088,65,100,120.0
bangalore,3,0.9,9,50.86,0,3.84,0.179,0.446,0.044,58,80,67.65
mumbai,2,0.8,1,68.6,3,0.93,0.644,0.057,0.084,65,100,91.46
bangalore,2,0.8,9,55.75,0,3.73,0.206,0.278,0.063,58,80,60.0
bangalore,2,0.8,5,67.01,1,4.82,0.206,0.409,0.044,58,80,64.48
chennai,7,1.5,5,51.07,1,2.4,0.709,0.58,0.05,62,95,120.0
mumbai,3,0.9,1,52.19,3,4.95,0.856,0.425,0.086,65,100,110.86
chennai,2,0.8,1,66.24,1,1.18,0.839,0.672,0.081,62,95,93.42
bangalore,0,0.7,1,58.33,1,3.5,0.188,0.289,0.035,58,80,60.0
pune,2,0.8,1,61.96,1,1.25,0.32,0.11,0.022,55,65,60.0
mumbai,1,0.7,1,64.76,1,0.79,0.778,0.0,0.105,65,100,77.99
pune,3,0.9,1,52.54,0,1.17,0.201,0.308,0.03,55,65,62.41
bangalore,5,1.3,9,90.77,1,3.12,0.268,0.22,0.076,58,80,103.77
pune,10,0.8,1,64.1,0,2.01,0.191,0.258,0.048,55,65,60.0
pune,0,0.7,9,65.03,2,3.22,0.214,0.139,0.027,55,65,60.0
mumbai,3,0.9,1,62.47,1,0.49,0.701,0.251,0.093,65,100,110.14
delhi,2,0.8,5,73.89,0,3.22,0.421,0.776,0.076,60,85,74.14
bangalore,4,0.9,9,58.7,0,0.16,0.226,0.13,0.042,58,80,80.21
delhi,4,0.9,1,54.17,2,3.3,0.447,0.785,0.105,60,85,86.7
mumbai,4,0.9,9,48.08,2,3.82,0.846,0.192,0.089,65,100,104.36
chennai,4,0.9,5,99.05,0,3.83,0.685,0.543,0.035,62,95,94.66
bangalore,10,0.8,1,63.24,0,4.25,0.433,0.422,0.057,58,80,70.64
chennai,0,0.7,1,86.43,1,2.58,0.69,0.541,0.06,62,95,76.82
delhi,5,1.3,5,38.35,3,4.45,0.365,0.817,0.076,60,85,120.0
pune,5,1.3,5,60.37,2,3.83,0.178,0.323,0.02,55,65,83.25
bangalore,9,1.0,1,42.86,3,0.78,0.213,0.507,0.036,58,80,84.88
mumbai,2,0.8,9,61.57,3,2.04,0.797,0.143,0.065,65,100,93.04
bangalore,4,0.9,5,50.86,0,3.75,0.09,0.232,0.056,58,80,66.03
delhi,11,0.7,9,83.61,2,3.8,0.208,0.692,0.134,60,85,60.0
bangalore,10,0.8,9,74.35,2,3.05,0.217,0.428,0.062,58,80,66.07
chennai,0,0.7,5,61.91,1,1.63,0.789,0.579,0.084,62,95,81.8
pune,11,0.7,9,44.27,1,4.99,0.132,0.295,0.051,55,65,60.0
mumbai,4,0.9,1,71.19,5,2.06,0.704,0.298,0.105,65,100,107.08
chennai,1,0.7,1,53.41,1,2.44,0.734,0.545,0.067,62,95,75.44
delhi,6,1.5,1,67.64,1,1.4,0.406,0.666,0.072,60,85,120.0
pune,4,0.9,1,72.77,1,4.35,0.152,0.33,0.037,55,65,63.9
delhi,1,0.7,5,69.82,3,0.8,0.326,0.789,0.032,60,85,71.05
delhi,7,1.5,5,52.49,2,4.21,0.402,0.614,0.091,60,85,120.0
bangalore,8,1.3,9,48.67,5,4.82,0.327,0.242,0.006,58,80,110.16
bangalore,8,1.3,5,69.58,5,3.93,0.424,0.256,0.058,58,80,117.56
chennai,8,1.3,1,60.5,1,3.88,0.722,0.367,0.115,62,95,120.0
mumbai,8,1.3,9,75.05,2,2.03,0.931,0.214,0.089,65,100,120.0
pune,11,0.7,1,43.09,3,0.59,0.092,0.279,0.045,55,65,60.0
bangalore,8,1.3,5,65.91,3,2.05,0.272,0.273,0.086,58,80,109.61
chennai,9,1.0,9,53.37,1,1.97,0.587,0.453,0.044,62,95,102.28
mumbai,0,0.7,5,72.54,2,2.79,0.677,0.236,0.111,65,100,82.52
mumbai,7,1.5,1,67.16,2,1.22,0.79,0.036,0.092,65,100,120.0
delhi,3,0.9,9,60.25,1,1.89,0.423,0.634,0.057,60,85,84.0
delhi,10,0.8,5,48.07,0,4.07,0.27,0.858,0.045,60,85,71.92
mumbai,3,0.9,1,68.61,0,3.48,0.975,0.245,0.1,65,100,100.24
mumbai,1,0.7,1,64.81,3,3.14,0.669,0.219,0.142,65,100,77.72
pune,7,1.5,1,49.85,7,2.24,0.259,0.128,0.044,55,65,114.99
chennai,11,0.7,5,62.5,6,2.44,0.604,0.583,0.11,62,95,88.38
bangalore,3,0.9,5,57.92,0,0.14,0.456,0.362,0.051,58,80,80.64
delhi,11,0.7,1,44.77,2,1.3,0.488,0.678,0.068,60,85,73.63
mumbai,6,1.5,1,82.04,5,2.86,0.74,0.338,0.071,65,100,120.0
pune,3,0.9,1,47.83,1,0.29,0.159,0.269,0.043,55,65,65.3
bangalore,7,1.5,5,77.41,5,3.92,0.31,0.264,-0.015,58,80,120.0
mumbai,2,0.8,5,49.09,0,3.22,0.659,0.107,0.094,65,100,87.05
bangalore,7,1.5,1,68.79,4,1.52,0.374,0.283,0.068,58,80,120.0
pune,8,1.3,1,84.21,2,1.1,0.197,0.178,0.029,55,65,88.85
bangalore,3,0.9,5,54.98,1,3.59,0.413,0.254,0.064,58,80,76.49
chennai,6,1.5,1,58.98,3,2.13,0.713,0.325,0.098,62,95,120.0
mumbai,0,0.7,5,77.62,1,2.62,0.7,0.0,0.099,65,100,78.73
bangalore,5,1.3,9,69.95,5,1.79,0.344,0.378,0.064,58,80,120.0
mumbai,0,0.7,1,70.45,2,4.21,0.747,0.194,0.105,65,100,82.02
bangalore,5,1.3,5,45.98,1,2.57,0.37,0.342,0.065,58,80,108.61
bangalore,2,0.8,1,52.25,2,4.0,0.214,0.368,0.027,58,80,70.82
bangalore,2,0.8,1,61.14,1,2.79,0.2,0.19,0.08,58,80,61.09
mumbai,4,0.9,5,56.78,2,3.46,0.785,0.157,0.093,65,100,103.02
pune,3,0.9,5,53.16,1,2.15,0.159,0.226,0.022,55,65,60.0
delhi,8,1.3,9,60.39,2,2.08,0.324,0.789,0.089,60,85,115.95
chennai,6,1.5,1,50.85,2,1.51,0.721,0.507,0.068,62,95,120.0
pune,5,1.3,1,76.19,1,2.81,0.137,0.337,0.06,55,65,90.55
mumbai,0,0.7,5,40.93,2,0.11,1.0,0.102,0.067,65,100,90.44
pune,11,0.7,5,62.45,2,3.66,0.184,0.342,0.055,55,65,60.0
delhi,1,0.7,5,46.59,2,4.06,0.426,0.73,0.012,60,85,66.87
bangalore,7,1.5,1,81.58,4,4.57,0.354,0.293,0.05,58,80,120.0
delhi,2,0.8,1,68.37,2,1.73,0.373,0.789,0.032,60,85,80.08
bangalore,9,1.0,5,69.73,1,4.02,0.225,0.385,0.047,58,80,83.18
bangalore,11,0.7,9,55.16,2,3.94,0.3,0.03,0.064,58,80,60.0
pune,3,0.9,5,45.38,0,1.13,0.0,0.298,0.021,55,65,60.0
pune,4,0.9,5,53.16,5,0.14,0.19,0.278,0.009,55,65,71.39
pune,9,1.0,9,46.98,3,2.58,0.301,0.177,0.024,55,65,69.28
mumbai,5,1.3,5,100.82,3,0.16,0.763,0.016,0.128,65,100,120.0
chennai,6,1.5,1,69.43,4,2.13,0.741,0.557,0.089,62,95,120.0
bangalore,3,0.9,1,47.42,1,0.92,0.218,0.21,0.079,58,80,74.98
bangalore,8,1.3,1,74.1,3,2.12,0.067,0.333,0.073,58,80,108.68
mumbai,4,0.9,1,66.03,1,3.49,0.753,0.072,0.093,65,100,101.58
mumbai,6,1.5,1,64.45,4,3.64,0.724,0.324,0.099,65,100,120.0
bangalore,11,0.7,1,62.06,2,4.29,0.291,0.402,0.051,58,80,60.0
delhi,2,0.8,1,43.94,4,2.62,0.391,0.625,0.067,60,85,84.09
chennai,10,0.8,1,79.88,0,1.81,0.682,0.565,0.089,62,95,89.44
mumbai,11,0.7,5,66.25,1,2.65,0.742,0.334,0.073,65,100,80.61
bangalore,6,1.5,5,46.98,2,1.37,0.174,0.499,0.065,58,80,120.0
pune,5,1.3,5,46.02,3,3.04,0.03,0.294,0.058,55,65,92.56
delhi,11,0.7,1,77.06,2,2.79,0.619,0.753,0.052,60,85,73.91
pune,11,0.7,1,65.78,1,3.91,0.071,0.184,0.067,55,65,60.0
mumbai,11,0.7,1,74.8,1,2.13,0.898,0.236,0.089,65,100,87.58
bangalore,7,1.5,1,62.02,2,0.57,0.332,0.376,0.067,58,80,120.0
chennai,10,0.8,1,59.07,2,3.31,0.762,0.633,0.09,62,95,95.44
bangalore,2,0.8,5,60.99,3,3.57,0.405,0.165,0.044,58,80,70.97
delhi,6,1.5,5,61.91,5,4.71,0.465,0.701,0.06,60,85,120.0
delhi,7,1.5,9,60.02,4,3.22,0.272,0.579,0.076,60,85,120.0
mumbai,1,0.7,1,86.84,4,4.81,0.702,0.506,0.074,65,100,83.72
pune,0,0.7,1,56.81,1,0.35,0.277,0.193,0.032,55,65,60.0
chennai,6,1.5,9,52.9,4,3.71,0.79,0.437,0.087,62,95,120.0
mumbai,7,1.5,9,59.67,3,4.47,0.833,0.249,0.059,65,100,120.0
delhi,1,0.7,1,76.41,0,4.72,0.389,0.623,0.075,60,85,61.11
mumbai,7,1.5,1,71.52,1,4.15,0.678,0.059,0.07,65,100,120.0
pune,5,1.3,5,73.01,2,0.95,0.184,0.304,0.04,55,65,90.7
delhi,4,0.9,1,80.87,4,2.74,0.368,0.672,0.085,60,85,91.4
mumbai,11,0.7,1,48.14,3,1.71,0.956,0.173,0.091,65,100,87.37
mumbai,0,0.7,1,87.85,2,2.81,0.963,0.348,0.073,65,100,86.82
chennai,4,0.9,1,48.83,1,4.15,0.738,0.481,0.084,62,95,99.96
mumbai,5,1.3,1,58.61,1,4.24,0.92,0.147,0.106,65,100,120.0
pune,9,1.0,5,63.18,4,1.94,0.123,0.112,0.013,55,65,71.16
delhi,7,1.5,9,52.13,4,2.49,0.327,0.894,0.04,60,85,120.0
pune,10,0.8,1,50.62,1,2.6,0.277,0.222,0.051,55,65,65.97
chennai,0,0.7,9,69.79,0,1.75,0.776,0.653,0.078,62,95,75.8
bangalore,7,1.5,1,63.83,1,3.29,0.328,0.157,0.059,58,80,120.0
delhi,5,1.3,1,61.18,2,0.25,0.53,0.709,0.074,60,85,120.0
mumbai,5,1.3,5,67.58,5,1.48,0.899,0.304,0.074,65,100,120.0
bangalore,11,0.7,1,69.96,1,1.93,0.253,0.19,0.061,58,80,60.0
delhi,2,0.8,1,65.82,3,2.93,0.305,0.875,0.087,60,85,79.35
chennai,11,0.7,9,75.63,1,1.0,0.589,0.416,0.044,62,95,74.74
pune,9,1.0,1,75.55,2,0.67,0.291,0.211,0.066,55,65,70.69
chennai,10,0.8,9,65.17,3,0.15,0.827,0.547,0.092,62,95,95.05
pune,7,1.5,1,44.06,5,4.33,0.243,0.168,0.055,55,65,109.84
pune,5,1.3,1,46.63,1,0.23,0.276,0.05,0.044,55,65,91.34
mumbai,9,1.0,1,67.36,3,1.88,0.742,0.304,0.066,65,100,113.01
bangalore,7,1.5,9,53.06,3,4.68,0.415,0.334,0.094,58,80,120.0
chennai,5,1.3,1,55.83,4,2.15,0.727,0.409,0.086,62,95,120.0
mumbai,2,0.8,1,38.78,3,1.35,0.914,0.171,0.08,65,100,105.43
pune,3,0.9,5,44.72,0,4.55,0.156,0.146,0.078,55,65,60.0
bangalore,5,1.3,1,68.73,0,2.38,0.25,0.148,0.035,58,80,105.75
delhi,1,0.7,5,56.84,3,4.18,0.52,0.714,0.029,60,85,64.64
delhi,1,0.7,1,39.34,1,4.43,0.436,0.825,0.073,60,85,68.39
chennai,0,0.7,5,75.02,1,4.05,0.687,0.558,0.068,62,95,75.96
bangalore,9,1.0,1,77.79,1,4.7,0.407,0.344,0.032,58,80,82.3
mumbai,11,0.7,1,52.66,2,3.65,0.693,0.328,0.087,65,100,77.98
delhi,2,0.8,1,47.06,1,0.28,0.311,0.684,0.068,60,85,80.05
mumbai,11,0.7,1,73.06,1,1.88,0.788,0.202,0.097,65,100,79.69
chennai,11,0.7,1,56.38,1,0.53,0.643,0.514,0.072,62,95,77.1
delhi,6,1.5,1,48.32,3,2.7,0.425,0.581,0.081,60,85,120.0
chennai,3,0.9,5,49.47,0,0.94,0.526,0.531,0.106,62,95,98.36
bangalore,5,1.3,1,51.05,3,2.12,0.376,0.185,0.065,58,80,119.64
chennai,1,0.7,1,67.78,1,1.43,0.63,0.589,0.119,62,95,77.93
pune,1,0.7,1,63.55,2,2.55,0.188,0.204,0.008,55,65,60.0
bangalore,6,1.5,1,64.67,3,3.3,0.543,0.366,0.068,58,80,120.0
bangalore,9,1.0,1,87.96,0,4.82,0.368,0.294,0.078,58,80,77.38
delhi,4,0.9,5,55.68,1,4.98,0.373,0.737,0.044,60,85,77.13
delhi,8,1.3,5,57.15,6,3.2,0.358,0.826,0.076,60,85,120.0
chennai,6,1.5,5,41.98,3,1.54,0.806,0.69,0.087,62,95,120.0
mumbai,3,0.9,5,66.83,1,3.81,0.72,0.162,0.085,65,100,97.57
chennai,0,0.7,5,38.36,0,0.56,0.771,0.424,0.088,62,95,81.37
bangalore,10,0.8,1,50.12,2,0.16,0.417,0.313,0.056,58,80,76.93
mumbai,5,1.3,9,83.7,3,0.78,0.691,0.193,0.102,65,100,120.0
